no      pf10    pf20    pf40    pf60    pf80    pf100   mf
1.7779  1.7779  1.7779  1.7779  1.7779  1.7779  1.7779  1.7779
1.1094  1.0659  1.116   1.068   1.1126  1.1479  1.079   1.0913
1.0571  1.0267  1.0469  1.0977  1.0597  1.2171  1.0623  1.064
0.9711  1.0159  1.0042  0.9837  0.9396  1.0127  0.9911  1.0132
0.7705  0.6989  0.8966  0.8279  0.7172  0.8572  0.7399  0.7739
0.6527  0.4921  0.4681  0.5066  0.5569  0.6603  0.6274  0.4562
0.6024  0.5206  0.4694  0.6264  0.7057  0.7353  0.5519  0.5007
0.6626  0.7399  0.6742  0.5691  0.6544  0.5784  0.6018  0.6828
0.4498  0.5288  0.6597  0.6147  0.8389  0.8751  0.5846  0.6857
0.5339  0.6608  0.5521  0.5056  1.1296  0.7689  0.5059  0.6005
0.726   0.7226  0.5793  0.4328  1.0437  0.6841  0.55    0.4973
0.5871  0.6993  0.718   0.6065  1.0842  0.8173  0.7811  0.5512
0.8191  0.6147  0.4447  0.8943  0.8971  0.6992  0.6716  0.538
0.7474  0.5682  0.4305  0.4469  0.6062  0.8459  0.6129  0.6417
0.6077  0.439   0.6794  0.6544  0.7212  0.7358  0.6716  0.6328
0.765   0.455   0.4448  0.8556  0.7172  0.8814  0.8781  0.7245
0.7525  0.4741  0.5831  0.7215  0.5707  0.5489  0.6042  0.7022
0.7038  0.4081  0.5753  0.5136  0.6274  0.4083  0.5383  0.6801
0.5948  0.2701  0.4437  0.8469  0.8344  0.7461  0.5173  0.6121
0.5617  0.4351  0.6931  0.7808  0.8342  0.6792  0.4509  0.7575
0.5979  0.5542  0.4765  0.5797  0.8658  0.6665  0.5997  0.5903
0.7728  0.653  0.6105  0.5848   0.7619  0.8135  0.6009  0.3787
0.7926  0.6368  0.7031  0.6661  0.8214  0.9937  0.7236  0.6645
0.7786  0.7051  0.7015  0.7859  0.5956  0.9622  0.6035  0.9849
0.571   0.7601  0.7469  0.8475  0.492  0.8495  0.6293  1.0976
0.6494  0.8242  0.6433  0.7815  0.5224  0.9638  0.5341  0.8597
0.8504  0.3682  0.6067  0.686  0.5491  0.8067  0.7387  0.9225
0.7375  0.4812  0.5793  0.7562  0.5775  0.8968  0.6848  1.2652
0.9923  0.4799  0.5687  0.5707  1.0147  0.8248  0.4614  1.1774
1.2078  0.5969  0.6291  0.8132  0.6292  0.7177  0.5538  1.4265
1.4549  0.3136  0.6317  0.7246  0.5637  0.7052  0.565  1.9018
1.3787  0.4743  0.783  0.662  0.3377  0.62  0.6185  1.7606
1.154  0.5219  0.7265  0.9697  0.5153  0.6634  0.6176  1.4073
1.0991  0.6587  0.6462  0.6086  0.3628  0.538  0.7595  1.0519
1.2848  0.6564  0.4937  0.6668  0.4417  0.7376  0.6781  1.4504
1.7319  0.6936  0.5896  0.6754  0.58  0.5653  0.5785  1.554
2.5333  0.5689  0.7273  0.7511  0.725  0.5002  0.6474  1.9831
2.9349  0.3893  0.7085  0.8124  0.7525  0.7433  0.7604  2.5217
2.2984  0.4606  0.7632  0.816  0.8183  0.5273  0.6564  2.3229
2.2426  0.5465  0.7335  0.8904  0.8463  0.4836  0.6433  2.1138
2.4447  0.6298  0.6726  0.8634  0.6016  0.4533  0.6293  2.1793
2.2256  0.5345  0.6842  1.3305  0.5321  0.6594  0.6469  2.7586
1.7839  0.5058  0.673  1.0247  0.6347  0.7652  0.5824  2.9276
1.7645  0.5371  0.5699  0.9431  0.9013  0.6615  0.7503  2.8032
1.9796  0.566  0.4484  1.0379  0.7006  0.7881  0.5504  2.6126
1.565  0.6098  0.5617  1.0155  0.5099  0.465  0.6042  2.6701
1.241  0.6204  0.6734  0.8324  0.6293  0.6307  0.6233  2.2144
1.1864  0.8866  0.6047  0.9465  0.7292  0.7299  0.6292  2.0354
1.5819  0.6424  0.6383  1.482  0.5699  0.7471  0.568  1.8952
1.6639  0.5559  0.4626  1.2023  0.6352  0.7114  0.5396  1.6885
1.2102  0.5836  0.7791  0.9172  0.6159  0.5424  0.6462  1.9144
1.1812  0.6547  0.9117  0.7617  0.7312  0.6578  0.7313  2.0465
1.6556  0.6604  0.7222  0.8228  0.6394  0.5951  0.4787  2.1882
1.821  0.7558  0.8734  0.5435  0.5053  0.4785  0.658  2.3808
1.5968  0.4212  0.8917  0.464  0.5882  0.6262  0.5507  2.1563
1.3816  0.7432  0.751  0.3516  0.7063  1.0292  0.5931  2.0758
0.9835  0.7931  1.0244  0.6806  0.5596  1.2106  0.5751  2.1058
0.918  0.5987  0.8882  0.5595  0.5652  1.0085  0.7891  1.6704
0.9964  0.471  0.7262  0.5414  0.6843  0.6677  0.6723  1.6658
0.8599  0.489  0.8153  0.7064  0.6746  0.6259  0.5185  1.6693
0.7816  0.4301  0.7693  0.5469  0.5981  0.913  0.5611  1.689
0.8596  0.3826  0.9007  0.5485  0.8516  0.8084  0.5475  1.5838
0.8732  0.5221  0.6848  0.6434  0.7277  0.5966  0.6615  1.579
0.8967  0.6017  0.7066  0.6059  0.6957  0.5615  0.5216  1.8655
0.6938  0.5982  0.5885  0.7375  0.4765  0.7065  0.4573  1.7237
0.9098  0.6067  0.6387  0.8793  0.6731  0.7397  0.4083  1.6263
0.719  0.6013  0.5569  0.6591  0.6812  0.6321  0.5382  1.2619
0.4665  0.7049  0.5271  0.5025  0.8359  0.6404  0.6644  1.093
0.46  0.9203  0.5587  0.5129  0.5641  0.4908  0.5428  0.8937
0.6835  0.701  0.7202  0.5459  0.4384  0.5661  0.5246  0.828
0.6362  0.6811  0.6919  0.5541  0.58  0.6128  0.5817  0.9381
