 time        rmse ana        rmse bgd        rmse obs        rmse ctl
    1          0.5176          1.4994          0.4544          1.7779
    2          0.3913          0.4601          0.5047          1.3254
    3          0.3279          0.3574          0.4917          1.3884
    4          0.3052          0.3102          0.4591          1.7471
    5          0.2783          0.3006          0.4117          2.0873
    6          0.2922          0.2972          0.4760          2.2448
    7          0.3045          0.3077          0.5199          2.2105
    8          0.3088          0.3153          0.5159          2.1153
    9          0.3279          0.3633          0.4813          2.0038
   10          0.4162          0.3758          0.5282          1.9365
   11          0.4015          0.5001          0.5165          2.0385
   12          0.3917          0.4201          0.4962          2.4008
   13          0.2838          0.4877          0.4583          2.4412
   14          0.2968          0.3555          0.4768          2.2931
   15          0.2786          0.3859          0.4415          2.5517
   16          0.2299          0.3517          0.4254          3.0705
   17          0.2052          0.2520          0.3617          4.1165
   18          0.3176          0.2294          0.5655          4.7583
   19          0.2444          0.3556          0.4808          4.6338
   20          0.2862          0.3232          0.4458          4.2950
   21          0.2937          0.3834          0.5612          3.9362
   22          0.2546          0.3638          0.4590          3.7908
   23          0.2585          0.3037          0.5486          3.9560
   24          0.2892          0.3011          0.6124          4.1317
   25          0.2943          0.3825          0.5633          4.1971
   26          0.2797          0.3805          0.4417          4.0515
   27          0.3085          0.3406          0.5530          3.9568
   28          0.2725          0.4282          0.5101          4.0985
   29          0.3032          0.3392          0.4925          4.2539
   30          0.3038          0.3784          0.5281          4.2824
   31          0.3533          0.3757          0.5347          4.3754
   32          0.2688          0.4233          0.4449          4.3367
   33          0.2930          0.3301          0.5408          4.6364
   34          0.2561          0.3507          0.4719          4.9871
   35          0.3000          0.2906          0.5754          5.1167
   36          0.2985          0.3496          0.4554          4.8556
   37          0.2904          0.3477          0.5247          4.6916
   38          0.3169          0.3606          0.5579          4.6678
   39          0.3288          0.3670          0.5199          5.1185
   40          0.3613          0.3619          0.5170          5.5188
   41          0.3727          0.4474          0.5168          5.3006
   42          0.3267          0.4583          0.4417          5.0684
   43          0.2458          0.3236          0.4638          5.3637
   44          0.2740          0.3051          0.4812          5.6740
   45          0.2743          0.3527          0.4973          5.4753
   46          0.2783          0.2850          0.4776          5.6021
   47          0.2905          0.3135          0.5269          5.6534
   48          0.1911          0.3249          0.5053          5.3497
   49          0.1696          0.2458          0.5484          5.2327
   50          0.1836          0.1955          0.5174          5.2576
   51          0.1989          0.2378          0.4657          5.3968
   52          0.1732          0.2135          0.4369          5.5558
   53          0.2468          0.1966          0.5689          5.4132
   54          0.2341          0.3159          0.6208          5.4492
   55          0.2277          0.3016          0.3349          5.7317
   56          0.1970          0.2712          0.4386          5.8620
   57          0.1891          0.2176          0.5212          6.1737
   58          0.1831          0.1829          0.5080          6.5021
   59          0.1652          0.2124          0.5559          6.2619
   60          0.2143          0.1906          0.4712          6.0555
   61          0.1730          0.3099          0.4544          6.1337
   62          0.1968          0.2102          0.4951          5.6397
   63          0.2069          0.2147          0.4605          5.1536
   64          0.2078          0.2430          0.5751          5.0460
   65          0.2300          0.2727          0.4408          5.3554
   66          0.2794          0.2877          0.4664          5.2627
   67          0.2686          0.3109          0.5663          5.0740
   68          0.2674          0.2892          0.5879          5.2349
   69          0.3068          0.3347          0.4425          5.4692
   70          0.2893          0.3457          0.5245          5.6110
   71          0.2815          0.3553          0.5010          5.5437
   72          0.2924          0.4007          0.4888          5.5639
   73          0.3005          0.4183          0.5673          5.5343
   74          0.3219          0.3884          0.5049          5.5240
   75          0.3312          0.4307          0.4066          5.7570
   76          0.3556          0.4461          0.5080          6.0336
   77          0.4247          0.5527          0.4809          5.6013
   78          0.4058          0.6034          0.5279          5.0196
   79          0.3578          0.5666          0.4031          4.8877
   80          0.3610          0.5657          0.5070          4.9304
   81          0.3426          0.5800          0.4566          5.0819
   82          0.3516          0.5671          0.4386          5.1962
   83          0.3928          0.5236          0.5289          5.1233
   84          0.3817          0.5460          0.5125          4.9146
   85          0.4179          0.5176          0.4809          4.6681
   86          0.4014          0.5531          0.5234          4.5729
   87          0.3749          0.4900          0.4620          4.6733
   88          0.2872          0.4515          0.5223          4.5011
   89          0.2770          0.3603          0.4874          4.2675
   90          0.3671          0.3909          0.5844          4.2612
   91          0.3383          0.4977          0.5335          4.4260
   92          0.3176          0.4010          0.4062          4.6926
   93          0.2779          0.3283          0.5194          4.7746
   94          0.2703          0.2929          0.5803          4.7512
   95          0.2738          0.2971          0.5716          4.8648
   96          0.2776          0.3236          0.5676          5.1592
   97          0.2932          0.3199          0.4841          5.5351
   98          0.3146          0.3406          0.5309          5.9213
   99          0.3077          0.3859          0.5305          5.7904
  100          0.3265          0.3820          0.4644          5.2322
