 time        rmse ana        rmse bgd        rmse obs        rmse ctl
    1          0.6066          1.4711          0.4812          1.7779
    2          0.6522          0.5515          0.5268          1.3254
    3          0.5861          0.6091          0.4956          1.3884
    4          0.4951          0.5524          0.4873          1.7471
    5          0.4722          0.4842          0.5574          2.0873
    6          0.4490          0.4492          0.5677          2.2448
    7          0.4154          0.4731          0.4914          2.2105
    8          0.4157          0.4014          0.5716          2.1153
    9          0.4604          0.4258          0.5232          2.0038
   10          0.3753          0.4905          0.4252          1.9365
   11          0.4107          0.4692          0.4994          2.0385
   12          0.3713          0.5149          0.4099          2.4008
   13          0.3958          0.4026          0.5553          2.4412
   14          0.3678          0.5553          0.4498          2.2931
   15          0.3146          0.4968          0.5534          2.5517
   16          0.2620          0.3804          0.4377          3.0705
   17          0.2322          0.3273          0.4699          4.1165
   18          0.2585          0.2434          0.4613          4.7583
   19          0.2234          0.2678          0.5306          4.6338
   20          0.2229          0.2482          0.5246          4.2950
   21          0.2244          0.2505          0.5286          3.9362
   22          0.2439          0.2379          0.4648          3.7908
   23          0.2146          0.2582          0.5564          3.9560
   24          0.1948          0.2167          0.4572          4.1317
   25          0.1931          0.2436          0.4774          4.1971
   26          0.2393          0.2594          0.5232          4.0515
   27          0.2414          0.2724          0.4182          3.9568
   28          0.2317          0.2930          0.4825          4.0985
   29          0.2401          0.2638          0.5968          4.2539
   30          0.2582          0.2515          0.6173          4.2824
   31          0.2935          0.3329          0.4035          4.3754
   32          0.3398          0.3837          0.6058          4.3367
   33          0.3570          0.3970          0.4187          4.6364
   34          0.4061          0.4301          0.5084          4.9871
   35          0.4809          0.5457          0.5554          5.1167
   36          0.4632          0.5332          0.5401          4.8556
   37          0.3677          0.5131          0.4963          4.6916
   38          0.3516          0.4748          0.4366          4.6678
   39          0.3252          0.4087          0.4238          5.1185
   40          0.3875          0.3728          0.4093          5.5188
   41          0.4629          0.4803          0.4891          5.3006
   42          0.5266          0.6105          0.5064          5.0684
   43          0.5157          0.6380          0.4605          5.3637
   44          0.4775          0.6242          0.5494          5.6740
   45          0.4262          0.5283          0.5037          5.4753
   46          0.4055          0.4883          0.5563          5.6021
   47          0.3606          0.4119          0.4942          5.6534
   48          0.3314          0.3770          0.5094          5.3497
   49          0.3472          0.3674          0.5353          5.2327
   50          0.3856          0.4614          0.4436          5.2576
   51          0.3694          0.4876          0.5102          5.3968
   52          0.3535          0.3896          0.4502          5.5558
   53          0.3699          0.3577          0.5474          5.4132
   54          0.3270          0.3384          0.4648          5.4492
   55          0.2841          0.3276          0.4650          5.7317
   56          0.3392          0.3200          0.5494          5.8620
   57          0.2970          0.4107          0.5163          6.1737
   58          0.3161          0.3531          0.4403          6.5021
   59          0.3738          0.4208          0.5825          6.2619
   60          0.3753          0.5032          0.4543          6.0555
   61          0.3066          0.4966          0.4893          6.1337
   62          0.2904          0.4034          0.4518          5.6397
   63          0.3222          0.3804          0.5135          5.1536
   64          0.3087          0.3605          0.6442          5.0460
   65          0.3117          0.3590          0.4809          5.3554
   66          0.4379          0.4799          0.5363          5.2627
   67          0.5337          0.6597          0.5118          5.0740
   68          0.5534          0.6801          0.6069          5.2349
   69          0.4877          0.5953          0.4642          5.4692
   70          0.4999          0.6066          0.5827          5.6110
   71          0.5532          0.6934          0.4358          5.5437
   72          0.5746          0.7335          0.4350          5.5639
   73          0.5725          0.7266          0.5792          5.5343
   74          0.6615          0.8004          0.5337          5.5240
   75          0.5642          0.7974          0.6079          5.7570
   76          0.5053          0.6845          0.4545          6.0336
   77          0.4775          0.6332          0.6044          5.6013
   78          0.4246          0.4933          0.5322          5.0196
   79          0.4136          0.4726          0.4735          4.8877
   80          0.3357          0.4261          0.5481          4.9304
   81          0.2803          0.2999          0.4506          5.0819
   82          0.2477          0.2752          0.4425          5.1962
   83          0.2703          0.2695          0.5629          5.1233
   84          0.2853          0.3247          0.4270          4.9146
   85          0.3051          0.3402          0.4819          4.6681
   86          0.2908          0.3368          0.4597          4.5729
   87          0.3197          0.3281          0.5417          4.6733
   88          0.2857          0.3959          0.5605          4.5011
   89          0.2995          0.3873          0.3618          4.2675
   90          0.3168          0.4278          0.4778          4.2612
   91          0.3149          0.4440          0.5478          4.4260
   92          0.3194          0.3671          0.4842          4.6926
   93          0.2397          0.3178          0.4664          4.7746
   94          0.2166          0.2641          0.5810          4.7512
   95          0.2185          0.2327          0.4991          4.8648
   96          0.1955          0.2339          0.4526          5.1592
   97          0.2033          0.2043          0.4308          5.5351
   98          0.1888          0.2291          0.3966          5.9213
   99          0.2488          0.2251          0.5281          5.7904
  100          0.2509          0.2794          0.5237          5.2322
